customer_id,plan_type,tenure_months,monthly_spend,monthly_usage_gb,call_minutes,message_count,days_since_last_payment,complaints_count,is_churned
CUS0003581,premium,27,96.87,2.13,434,288,11,1,0
CUS0006294,basic,15,19.61,13.41,26,183,44,0,0
CUS0000966,basic,57,10.3,4.52,115,235,9,0,0
CUS0001903,premium,43,74.98,4.43,557,150,46,1,0
CUS0007646,basic,45,25.34,3.47,564,39,10,2,0
CUS0001515,basic,21,15.83,9.73,801,124,39,1,0
CUS0005184,premium,51,,8.57,196,239,36,0,1
CUS0006291,basic,53,16.5,17.01,946,145,4,2,0
CUS0002158,standard,16,63.18,12.53,577,198,16,1,0
CUS0002578,standard,72,54.32,9.02,944,202,2,1,0
CUS0006440,basic,40,25.31,9.4,434,277,12,1,0
CUS0001859,premium,15,83.63,19.96,679,24,43,1,0
CUS0003022,premium,38,112.78,19.69,633,286,28,1,0
CUS0002028,premium,13,118.26,13.31,171,145,10,1,0
CUS0003293,standard,42,56.54,7.38,541,222,51,4,1
CUS0005763,basic,30,18.38,2.54,825,52,22,0,0
CUS0002423,standard,53,32.6,7.09,286,80,29,2,1
CUS0002771, standard,5,44.44,6.76,384,67,38,4,1
CUS0000817,premium,31,,4.46,508,14,18,2,1
CUS0002832,standard,13,65.91,3.99,775,25,10,0,0
CUS0001259,basic,32,18.39,10.44,333,155,8,0,0
CUS0000603,basic,39,28.45,0.0,349,262,0,1,0
CUS0000467,basic,42,27.83,,191,243,52,0,0
CUS0003324,standard,1,31.8,2.67,945,44,2,0,0
CUS0007349,basic,23,11.38,16.66,973,210,38,5,1
CUS0007087,basic,6,22.75,,603,170,7,1,0
CUS0001571,premium,24,116.72,12.61,476,150,30,5,0
CUS0003128,standard,4,49.17,13.69,690,25,23,7,1
CUS0000676,basic,43,19.36,12.25,703,206,10,0,0
CUS0001124,Basic,71,26.36,9.54,365,250,27,0,0
CUS0005948,premium,26,9626.0,0.0,822,85,33,6,1
CUS0007149,standard,13,69.25,12.86,114,38,17,2,1
CUS0005495,premium,19,80.57,14.88,496,75,43,0,0
CUS0007998,basic,70,13.68,0.0,558,37,19,5,1
CUS0002160,basic,5,12.19,0.0,753,273,86,0,0
CUS0003124,basic,45,26.01,8.02,613,255,27,0,1
CUS0007783,basic,19,23.04,2.9,462,208,21,1,0
CUS0007112,basic,32,15.1,4.52,299,223,7,0,0
CUS0007092,basic,57,15.23,2.02,604,99,9,1,0
CUS0004489,basic,45,,7.49,888,248,25,5,0
CUS0001619,standard,23,47.11,6.12,549,107,15,5,1
CUS0003844,basic,23,11.27,3.17,402,297,35,5,0
CUS0001682,basic,30,13.78,5.23,456,105,58,2,1
CUS0005715,basic,61,18.79,2.1,855,152,58,0,0
CUS0004861,standard,52,34.83,1.38,724,283,5,1,0
CUS0001377,standard,9,66.21,2.86,210,140,29,1,0
CUS0001066,Premium,58,109.61,6.36,9,216,6,0,0
CUS0007946,basic,60,25.69,8.08,893,78,28,2,0
CUS0005536,basic,47,19.17,0.0,92,40,17,0,0
CUS0002940, basic,32,29.32,8.74,701,207,33,0,0
CUS0004450,standard,50,67.24,0.0,469,197,38,0,0
CUS0003048,standard,72,65.7,1.87,185,191,54,2,0
